ENSEMBL	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000196981	0.023007984682459785	1.3750402673712923	0.18022654968016957	0.857583885507688	0.924232211327403	-6.959800547936886
ENSG00000241316	-0.0047270570375295695	0.22777396007059397	-0.18021002342429907	0.8575968015956806	0.924232211327403	-6.959803548532671
ENSG00000282904	0.005719488481690234	0.009494092660178755	0.18008372747737644	0.8576955094278778	0.9242889225235353	-6.959826470426805
ENSG00000158669	0.05117692411630236	2.760561912320593	0.17997202912250745	0.857782810270358	0.9243252723336478	-6.959846729576262
ENSG00000140795	0.004974818625424479	0.1906347274067409	0.17975033197996604	0.8579560888944487	0.9243252723336478	-6.959886902426217
ENSG00000162129	0.009142200813227913	0.3042543112936225	0.1797358671619943	0.8579673948490856	0.9243252723336478	-6.959889521818949
ENSG00000145198	-0.006863530571096386	0.06146400761354513	-0.1796646430354465	0.8580230653072983	0.9243252723336478	-6.95990241652234
ENSG00000235124	-0.008314192422277369	0.1014940925418654	-0.17962178541802395	0.8580565641813951	0.9243252723336478	-6.959910173178166
ENSG00000173928	0.008955121891180478	0.20137356608804993	0.1795577683004127	0.8581066024804888	0.9243252723336478	-6.959921755977927
ENSG00000115556	0.024616104068418514	0.31694181998850124	0.17954022622498256	0.8581203141592036	0.9243252723336478	-6.959924929195763
ENSG00000140876	-0.047330921283105766	1.5805051960266852	-0.17951759589031807	0.8581380031160479	0.9243252723336478	-6.959929022380581
ENSG00000237928	-0.004795203461944016	0.09836235828595634	-0.1795098914775787	0.8581440252718648	0.9243252723336478	-6.959930415772435
ENSG00000170881	0.17017343339066707	9.200463957907736	0.1792929850201664	0.85831357372131	0.9244400589400548	-6.959969620163985
ENSG00000231255	0.02025359432726411	0.47460627465609245	0.17923577935114776	0.8583582905769738	0.9244400589400548	-6.959979951815617
ENSG00000160781	-0.04389627296344328	0.8718943552022749	-0.17919665724165945	0.858388872040319	0.9244400589400548	-6.959987015582777
ENSG00000114107	0.08370500775404068	2.0856033389444923	0.1790935654867226	0.8584694591452371	0.9244634100157392	-6.960005622134007
ENSG00000237159	0.006660003554650707	0.4243283234347292	0.1789764770189375	0.8585609893523838	0.9244634100157392	-6.96002674191413
ENSG00000153944	-0.06280252226902744	2.546557586597663	-0.1789357737201274	0.8585928083257459	0.9244634100157392	-6.960034080521637
ENSG00000124812	-0.00358700299166309	-0.09001330784445023	-0.1789091576760647	0.8586136150024827	0.9244634100157392	-6.960038878363768
ENSG00000124635	-0.009465352382485217	-0.07228562355205523	-0.17887409453627595	0.858641025218049	0.9244634100157392	-6.960045197801922
ENSG00000072858	0.016875114673465006	0.30014416379904607	0.17879572622645515	0.85870228939524	0.9244797421284521	-6.960059317668186
ENSG00000182057	-0.008144121198938195	0.536692019126798	-0.1783955923760036	0.8590151063508704	0.9246957363171325	-6.960131314704542
ENSG00000236829	0.008621657255598589	0.2623644688132925	0.17832432260147357	0.8590708260733454	0.9246957363171325	-6.960144121538772
ENSG00000100290	-0.015547144151181138	0.4841199415057721	-0.1782895636926964	0.8590980013432339	0.9246957363171325	-6.960150365692261
ENSG00000187229	0.0053932860364536575	0.14969595845030587	0.17828262371953618	0.8591034271854918	0.9246957363171325	-6.960151612256019
ENSG00000092108	-0.05664095362483287	4.5862610224762435	-0.17824423074470858	0.8591334438837978	0.9246957363171325	-6.960158507558325
ENSG00000183615	0.00938502563761409	0.14615653644819762	0.17816465747128715	0.8591956571524544	0.9247130721679435	-6.9601727940372
ENSG00000279261	0.00736497881011958	0.10633364749077473	0.1780588144443061	0.8592784104552765	0.9247467343638248	-6.96019178707702
ENSG00000160838	0.007790714365811171	0.06166501108452364	0.17796200893388098	0.8593540991692252	0.9247467343638248	-6.96020914850482
ENSG00000264278	0.005885767085452018	-0.03094348708575105	0.17790383922196462	0.8593995805924143	0.9247467343638248	-6.960219576321443
ENSG00000260805	0.03196675680632703	0.7893636061976589	0.17788876443783405	0.8594113672620329	0.9247467343638248	-6.96022227815303
ENSG00000130383	-0.013565929328785533	0.39146445258577284	-0.17741752579933776	0.8597798354293374	0.9250935825842699	-6.960306622246998
ENSG00000134363	-0.053885812679363994	0.3932508471994788	-0.17726079221117147	0.8599023945840184	0.9251758181308446	-6.960334625495934
ENSG00000117560	-0.00555479792372903	0.029321132964524675	-0.1771686671785173	0.8599744341471822	0.9252036933406227	-6.96035107373822
ENSG00000187094	0.02777915231391299	0.2776628356761662	0.17707025977314533	0.8600513876947709	0.9252368519876804	-6.960368634216474
ENSG00000145016	0.005365650523398199	0.6197506050289963	0.1769255175874863	0.8601645770251101	0.9253089871709722	-6.9603944452739315
ENSG00000242512	-0.004646740731895615	0.004601305556041724	-0.1766670027481645	0.8603667446374044	0.925476826519055	-6.96044049230766
ENSG00000167676	-0.007187285227129231	0.2641340953705125	-0.17655951709753992	0.8604508049239312	0.9255176093293126	-6.9604596180093266
ENSG00000104689	0.004364012662423628	0.2534547396247004	0.17634092515019018	0.8606217620611777	0.925651850694427	-6.960498477792049
ENSG00000117859	0.23248392495602124	9.581277824831934	0.1761620647559983	0.8607616507913844	0.9257526634637497	-6.960530238597516
ENSG00000145839	-0.003807322077354861	-0.17851032438385628	-0.1760828874092947	0.8608235777171649	0.9257696216792031	-6.960544288087997
ENSG00000170367	0.007915424970030218	0.06362243318172667	0.17588582456411	0.8609777101582523	0.925885734849003	-6.960579228177695
ENSG00000231856	0.013121462331004701	0.700188053616007	0.1758228938684732	0.8610269324617151	0.9258890224359101	-6.960590377827044
ENSG00000130159	0.06668618779860676	2.9412004092860626	0.17557446651618233	0.8612212495022866	0.9260414512283842	-6.960634353637149
ENSG00000259650	0.011043384710627607	0.21020124737856244	0.17549934447577759	0.8612800108017815	0.9260414512283842	-6.960647639267609
ENSG00000068784	-0.03551913008675008	2.0266367775546144	-0.17546458362161396	0.861307201396803	0.9260414512283842	-6.960653784940227
ENSG00000104427	-0.17981776449348477	5.857512976698539	-0.17513535377768963	0.86156473953598	0.9262686902242623	-6.960711932031887
ENSG00000040531	-0.022974856074402087	1.0798694601959342	-0.1749706535147542	0.8616935810276314	0.9263575504443705	-6.960740979712167
ENSG00000166183	0.01023810566779875	0.561731518566236	0.17451887624945492	0.8620470160751597	0.9266761439343245	-6.960820518126909
ENSG00000125207	-0.006793623187719056	0.13936109456267526	-0.17447372028504815	0.8620823441128154	0.9266761439343245	-6.96082845684465
ENSG00000166169	-0.024393077355843635	1.1846274653972766	-0.1743515174943183	0.8621779516121062	0.9267292458080498	-6.960849930612876
ENSG00000105523	0.004963607953667972	-0.20217786411702293	0.173790422888151	0.8626169603816077	0.9271069919863203	-6.960948334566706
ENSG00000154447	-0.04006891801232274	0.7890381493153746	-0.1737841894931591	0.8626218377271999	0.9271069919863203	-6.960949425990778
ENSG00000167515	-0.03204774960743914	1.8173407387328804	-0.17357824166132008	0.862782985474731	0.9271796013187946	-6.960985464031484
ENSG00000167553	1.1047515527338458	58.91426856773026	0.17350977270051468	0.8628365615955552	0.9271796013187946	-6.960997435703327
ENSG00000175336	-0.004875264423050209	-0.12150257792399931	-0.1734009276034498	0.8629217328783588	0.9271796013187946	-6.961016457355762
ENSG00000116747	0.05824025918813958	4.867615333038498	0.17339712270721375	0.8629247102390224	0.9271796013187946	-6.961017122079649
ENSG00000102057	0.009859635986612767	0.263011274743211	0.17339070726756067	0.8629297303745733	0.9271796013187946	-6.961018242838314
ENSG00000128731	-0.03471928325766672	3.2819471756791545	-0.17334336800201286	0.86296677392391	0.9271796013187946	-6.961026511589793
ENSG00000233728	0.0074521231544782095	-0.042632706443005236	0.17316986577666385	0.8631025441593627	0.9272704048089438	-6.961056797948005
ENSG00000157895	0.041980010627191464	2.597403752179879	0.17311720069038264	0.8631437568497294	0.9272704048089438	-6.961065985113463
ENSG00000176887	-1.846414213346997	63.75266468186735	-0.1730231811872941	0.863217332095384	0.9272997757099637	-6.961082379413248
ENSG00000175931	0.03906491976896754	1.838783052962013	0.17292957317773094	0.8632905865338658	0.9273287988604366	-6.961098693121573
ENSG00000164651	0.0042926030722580085	-0.09034708315324268	0.17281399414072277	0.8633810364121658	0.9273758808311925	-6.961118823703754
ENSG00000184281	-0.05110542454698845	1.5212489969721374	-0.17275539476673918	0.8634268958297197	0.9273758808311925	-6.96112902491207
ENSG00000132109	0.009857780238590628	0.33143426831014733	0.17264522275831265	0.8635131168699028	0.927418821459932	-6.961148194728963
ENSG00000260997	0.0060846658597566074	0.05140808532935157	0.1724940064342953	0.8636314620636688	0.9274962571967306	-6.961174486323119
ENSG00000101608	0.008563640697893372	0.37455797024060905	0.17218807978866987	0.8638708965201701	0.9276542803768468	-6.961227606622391
ENSG00000267034	-0.07181185558840034	0.44429527276541597	-0.17218780623930804	0.863871110620182	0.9276542803768468	-6.961227654078631
ENSG00000128536	-0.03451963066924441	0.5507988849742664	-0.17191083453242784	0.8640878944685054	0.9278342300022913	-6.961275665392967
