ENSEMBL	Non_SHH	SHH	AveExpr	F	P.Value	adj.P.Val
ENSG00000221886	5.518948564896674	4.452836577946944	5.34417610801967	216.52515290278257	4.0366143202756874e-28	1.0772899109441009e-27
ENSG00000158882	1.594584987659163	1.4638876608347802	1.5731591963764775	216.50393673524343	4.047022427687788e-28	1.0799239197672468e-27
ENSG00000188078	0.4938407253456862	0.47724159307460357	0.49111955612091857	216.44113329266153	4.077995049961305e-28	1.0879989741373904e-27
ENSG00000177599	1.0568752009585476	0.6317002750190551	0.9871743934274834	216.44037862916895	4.078368711390557e-28	1.0879989741373904e-27
ENSG00000063660	1.4061462665545863	3.291592608132258	1.7152358307476472	216.4106422527827	4.0931204770610265e-28	1.0917891247231805e-27
ENSG00000267174	0.3557062916969426	0.3744907449222918	0.3587857102584753	216.40422936646678	4.096309034583492e-28	1.0924943350745546e-27
ENSG00000179832	0.5375603241131595	0.5696158588617861	0.5428153298096556	216.39453771073264	4.101132704183483e-28	1.0935542608659913e-27
ENSG00000133606	8.73496036973422	7.128435379211409	8.471595617189497	216.39405375644438	4.101373728676698e-28	1.0935542608659913e-27
ENSG00000182628	22.774590457718652	15.660038383484427	21.60827044554911	216.38281304023172	4.106976080332188e-28	1.0949024626763572e-27
ENSG00000176623	1.4675079775921345	1.8089179696534532	1.5234768287497282	216.36909281313928	4.113824934770946e-28	1.09658257431906e-27
ENSG00000273409	0.3703005134745601	0.3411697639708455	0.36552498076903317	216.2744503982246	4.161391142848789e-28	1.10911442871728e-27
ENSG00000132964	4.511623856362467	5.524035400331287	4.677592961931127	216.2241471692814	4.186903953259619e-28	1.1157659538476605e-27
ENSG00000247092	0.4209306700869434	0.38962135338128767	0.4157979952171638	216.19122058833435	4.20369115253429e-28	1.1200907367507337e-27
ENSG00000143164	2.502836450832051	3.284020514750423	2.630899412130145	216.1601319958776	4.219605122259983e-28	1.1241817259836107e-27
ENSG00000136286	0.4202324873954642	0.5116789529692313	0.4352237112600162	216.09318173548724	4.254088122092759e-28	1.1332181083369953e-27
ENSG00000177337	0.5242904438271031	0.5769312196313214	0.5329200792048437	216.08555969015467	4.258032309146166e-28	1.1341181406671382e-27
ENSG00000167971	1.0641108752062485	0.5494060411920545	0.9797330335645775	216.06529417707347	4.268537515843477e-28	1.1367111907248042e-27
ENSG00000150201	-0.26385544595277394	-0.22595032186495706	-0.2576414911842794	216.06459309577616	4.268901420292793e-28	1.1367111907248042e-27
ENSG00000138442	1.2283142247549537	2.0315574401873717	1.3599934403996126	216.0619191308977	4.270289667410194e-28	1.1369299026892188e-27
ENSG00000172869	10.42606082246072	7.648398277256227	9.970706306853426	216.05268047688782	4.275089707620434e-28	1.1380567981953203e-27
ENSG00000119397	1.4718409095016767	1.7643959038662511	1.51980074464341	216.00990055564992	4.297389264167987e-28	1.1438412618732998e-27
ENSG00000160193	0.8289717446949386	0.9158893599244363	0.8432205340768236	215.97542965890926	4.315445077164231e-28	1.1484947779671685e-27
ENSG00000144034	9.630996971975913	14.862668035009579	10.488647965915858	215.95469825709455	4.326341896575836e-28	1.1512420469381048e-27
ENSG00000112245	5.826815227907444	4.5271737019480565	5.61375924004525	215.92597896880952	4.341484301635168e-28	1.155118189885844e-27
ENSG00000160180	0.30778410261951233	0.49720157505418594	0.3388361472809343	215.86876582155946	4.371813713892381e-28	1.1630335037249714e-27
ENSG00000145354	3.0599937493396134	2.965643784677302	3.0445265420179233	215.79343943097643	4.412079446523402e-28	1.1735897265182142e-27
ENSG00000197375	2.484921437874165	1.0528419020984514	2.250154300861753	215.77488097480042	4.422058589666491e-28	1.1760881457943397e-27
ENSG00000132436	2.692439738331779	2.5980587154645165	2.6769674395010803	215.74385648498813	4.438793016052409e-28	1.1803822955442471e-27
ENSG00000261364	-0.18098940271166195	-0.16638603431789986	-0.17859540789301245	215.6700757719517	4.4788533029766765e-28	1.1908773941999235e-27
