affy_probe_ids	Non_SHH	SHH	AveExpr	F	P.Value	adj.P.Val
7892688	8.831153846153844	10.097254901960783	9.057719298245614	44042.40583476041	0	0
7892692	8.172008547008545	8.678627450980391	8.262666666666666	63188.539016474664	0	0
7892693	7.032136752136751	7.485686274509801	7.113298245614035	32898.353718132006	0	0
7892694	8.616538461538463	8.186470588235293	8.53957894736842	39003.43374562797	0	0
7892695	5.719444444444443	6.923333333333331	5.934877192982456	29899.42568137907	0	0
7892696	6.606923076923074	7.474509803921566	6.762175438596492	30626.928723255452	0	0
7892697	6.122735042735042	6.838431372549019	6.25080701754386	33784.54816354955	0	0
7892698	2.0808119658119653	2.406470588235294	2.139087719298246	54508.33735798477	0	0
7892701	10.788846153846151	11.643137254901958	10.941719298245614	141666.1613504695	0	0
7892703	6.822863247863247	8.05019607843137	7.042491228070175	36490.36167897386	0	0
