PostvsPreinWT	PostvsPreinTG	Diff	TGvsWTPre
ENSDARG00000000690	1	1	0	0
ENSDARG00000000729	0	0	0	0
ENSDARG00000000760	0	-1	0	0
ENSDARG00000000767	1	1	0	-1
ENSDARG00000000779	1	0	0	1
ENSDARG00000000796	0	0	0	0
ENSDARG00000000853	1	1	0	0
ENSDARG00000000857	-1	0	0	0
ENSDARG00000000861	0	0	0	0
ENSDARG00000000887	0	0	0	0
ENSDARG00000000935	0	0	0	0
ENSDARG00000000966	0	0	0	0
ENSDARG00000001057	0	0	0	0
ENSDARG00000001129	0	0	0	0
ENSDARG00000001162	-1	-1	0	-1
ENSDARG00000001169	-1	0	0	0
ENSDARG00000001220	1	0	0	0
ENSDARG00000001241	-1	0	0	0
ENSDARG00000001244	0	0	0	0
ENSDARG00000001303	-1	0	1	-1
ENSDARG00000001313	0	0	0	0
ENSDARG00000001431	0	0	0	0
ENSDARG00000001442	1	0	0	0
ENSDARG00000001447	0	0	0	0
ENSDARG00000001557	-1	0	0	-1
ENSDARG00000001558	1	0	0	0
ENSDARG00000001578	0	0	0	0
ENSDARG00000001686	0	0	0	0
ENSDARG00000001710	0	0	0	1
ENSDARG00000001721	0	0	0	0
ENSDARG00000001729	0	0	0	0
ENSDARG00000001733	1	1	-1	0
ENSDARG00000001734	0	0	0	0
ENSDARG00000001754	0	0	0	-1
ENSDARG00000001767	0	0	0	0
ENSDARG00000001769	0	0	0	0
ENSDARG00000001777	0	0	0	0
ENSDARG00000001782	0	0	0	-1
ENSDARG00000001803	0	0	0	0
ENSDARG00000001804	0	0	0	0
ENSDARG00000001807	0	0	0	0
ENSDARG00000001825	0	0	0	0
ENSDARG00000001829	0	0	0	0
ENSDARG00000001859	0	0	0	0
ENSDARG00000001873	0	0	0	0
ENSDARG00000001879	0	0	0	0
ENSDARG00000001880	-1	0	0	0
ENSDARG00000001888	0	1	0	0
ENSDARG00000001889	1	1	-1	1
ENSDARG00000001890	0	0	0	0
ENSDARG00000001897	1	1	0	0
ENSDARG00000001909	0	0	0	0
ENSDARG00000001910	0	0	0	0
ENSDARG00000001913	0	0	0	0
ENSDARG00000001939	0	0	0	0
ENSDARG00000001940	0	-1	0	1
ENSDARG00000001950	-1	0	0	-1
ENSDARG00000001953	0	0	0	0
ENSDARG00000001969	0	0	0	0
ENSDARG00000001971	0	0	0	0
ENSDARG00000001975	0	-1	0	0
ENSDARG00000002002	1	0	0	0
ENSDARG00000002006	0	0	0	0
ENSDARG00000002013	0	0	0	0
ENSDARG00000002016	0	-1	0	0
ENSDARG00000002020	0	0	0	0
ENSDARG00000002031	0	0	0	0
ENSDARG00000002037	0	0	0	0
ENSDARG00000002082	0	0	0	0
ENSDARG00000002127	0	0	0	0
ENSDARG00000002128	0	0	0	0
ENSDARG00000002131	0	1	0	0
ENSDARG00000002165	-1	0	0	-1
ENSDARG00000002168	0	0	0	0
ENSDARG00000002172	0	0	0	1
ENSDARG00000002174	1	-1	-1	0
ENSDARG00000002184	-1	0	0	0
ENSDARG00000002190	0	0	0	0
ENSDARG00000002192	1	1	0	0
ENSDARG00000002193	0	0	0	0
ENSDARG00000002197	0	0	0	1
ENSDARG00000002210	0	0	0	0
ENSDARG00000002213	0	0	0	0
ENSDARG00000002215	0	1	0	0
ENSDARG00000002216	0	0	0	0
ENSDARG00000002217	1	0	0	0
