logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000015610	0.385768759949299	0.571746654035757	10.2630633404001	1.62059533225985e-06	0.00079190528626336	5.74528343510246
ENSDARG00000078703	-0.575855673457291	0.574410956499681	-10.2558240839321	1.63084765217904e-06	0.00079190528626336	5.73931852838956
ENSDARG00000069045	-0.612404611840386	0.469729504632007	-10.1567120854561	1.77858890680076e-06	0.000811297188481234	5.65719402171441
ENSDARG00000039269	1.87192170543619	0.946678365340266	10.088315139579	1.88906762192642e-06	0.000811297188481234	5.60001666777722
ENSDARG00000037789	2.51006680655613	1.07677431294423	10.0613956117259	1.93459117131879e-06	0.000811297188481234	5.57739918007076
ENSDARG00000031683	1.29717514030181	0.669257934702045	9.98941872033045	2.0623165552588e-06	0.000827257936470333	5.5166070449016
ENSDARG00000045940	0.370061661423957	0.839171509950396	9.89062926361484	2.25288655971882e-06	0.00083626065180661	5.43240851486695
ENSDARG00000074161	0.429264478686935	1.0824786509469	9.88414942767364	2.26604338772656e-06	0.00083626065180661	5.42685474025399
ENSDARG00000007377	0.792419381371092	1.14645885390101	9.83299805718639	2.37290271661425e-06	0.000842015402441658	5.38287873872316
ENSDARG00000020345	0.54139159467324	0.864235739210193	9.65553388418413	2.78860943748249e-06	0.000882595748058792	5.22843220363451
ENSDARG00000019383	0.561240873079589	0.686435618869468	9.63455769247085	2.84279125932499e-06	0.000882595748058792	5.20998195500925
ENSDARG00000055510	-1.10738656621306	1.08216530391805	-9.63223830282219	2.84885261617863e-06	0.000882595748058792	5.20793931422967
ENSDARG00000013522	2.28141286149017	1.01065945862765	9.62421899300228	2.86991897266028e-06	0.000882595748058792	5.20087294611409
ENSDARG00000022817	2.84152301586502	1.29918173981323	9.58818363620211	2.96670802609922e-06	0.000882930588670689	5.16904448607416
ENSDARG00000054362	0.724570679255315	1.11371451267755	9.39174845451788	3.56118622906762e-06	0.000992859730932517	4.99335427348751
ENSDARG00000036704	-0.514234636035042	1.27718731144891	-9.37393627336757	3.62121611146201e-06	0.000992859730932517	4.97723826960494
ENSDARG00000075314	-0.846897448519776	0.691130253653631	-9.36291185373673	3.65892378622432e-06	0.000992859730932517	4.96724809436131
ENSDARG00000033273	-0.332708418654256	0.138791051051897	-9.30485631542886	3.8647096007256e-06	0.000993052440559622	4.9144418544614
ENSDARG00000100515	1.3533016380224	2.24111635933963	9.27565226209929	3.97298230361927e-06	0.000993052440559622	4.88775257039416
ENSDARG00000020114	2.37839052445719	1.88577212327121	9.23743577605248	4.11970585424724e-06	0.000993052440559622	4.8526989706574
ENSDARG00000053452	-0.580458992141091	0.419605862507747	-9.22797566551806	4.15693333440544e-06	0.000993052440559622	4.84399932544246
ENSDARG00000103980	0.565393444319455	0.29699356210754	9.21769293375664	4.19781543267128e-06	0.000993052440559622	4.83453304330852
ENSDARG00000042874	1.33572202653893	1.3156855504614	9.15615844676841	4.45183453635053e-06	0.00100350127367594	4.77766277001112
ENSDARG00000037091	-0.591482245746569	0.0577420966352357	-9.15435641887734	4.45952224373654e-06	0.00100350127367594	4.77599158964227
ENSDARG00000087993	-0.685483172828103	0.456053182599095	-9.0692154592903	4.83981511460671e-06	0.00104224334567848	4.69665779240776
ENSDARG00000001767	-0.508875785297715	0.244958510050631	-9.06191614009956	4.8740309836487e-06	0.00104224334567848	4.68982200103391
ENSDARG00000008447	0.543864694618446	1.18889723064128	9.04161416646394	4.97059475502419e-06	0.00104224334567848	4.67078060158276
ENSDARG00000041691	1.30222808806821	1.05970383775656	9.00288092448887	5.1606732851315e-06	0.00105805270508052	4.63433504858878
ENSDARG00000061120	1.67807523312551	1.65203013391908	8.97319553877792	5.31172481549071e-06	0.00106534724234168	4.60629834464953
ENSDARG00000075933	0.305389309117462	0.27594868123605	8.8885053934008	5.76985080710478e-06	0.00110873726929225	4.52580931589303
ENSDARG00000059398	0.446817511710471	0.554013521670356	8.86602819540051	5.89856603589632e-06	0.00110873726929225	4.50432138431939
ENSDARG00000015006	0.401039899123671	0.866383712134459	8.86447563776102	5.90757178797752e-06	0.00110873726929225	4.50283520084777
ENSDARG00000002768	2.39698690600519	0.912985715005159	8.84720596714299	6.00876473711388e-06	0.00110873726929225	4.48628675143616
