	7 days post-amputation wildtype adult zebrafish, sample 2	7 days post-amputation wildtype adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 2	7 days post-amputation wildtype adult zebrafish, sample 3	Unamputated wildtype adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	Unamputated wildtype adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	Unamputated dnHIF1a-expressing adult zebrafish, sample 2
AFFX-DapX-5	0.211546145778846	0.165352000980769	0.143208074836538	0.0958848818942308	0.231497199923077	0.198300421346154	0.124149064461538	0.267379396384615	0.16719303982692302	0.163552090298077	0.10785172784615402	0.11015331991346199
AFFX-DapX-M	0.934344479307692	0.9520167310865391	0.913997863307692	0.86660768175	1.03201141277885	0.9023038712788459	0.8223801883942309	0.874226316394231	0.817785022519231	0.797697320673077	0.7442868505673079	0.788576377490385
AFFX-Dr-AB076373-1	-0.12141031530769199	-0.126039235317308	-0.18134838013461502	-0.182815048490385	-0.0730245314615385	-0.137668174721154	-0.198646395269231	-0.12886971128846197	-0.101009394298077	-0.110959005307692	-0.125846775836538	-0.0829826980865385
AFFX-Dr-AF292559-1	-0.394131283557692	-0.41489892096153796	-0.366931829961539	-0.40560505321153795	-0.39586187830769204	-0.41237428809615395	-0.40144292059615394	-0.357050772355769	-0.33299791103846194	-0.41489892096153796	-0.31812140665384603	-0.4035200382980771
AFFX-Dr-AF292559-2_s	0.0481087677211538	0.107526056894231	-0.0186516997788462	0.0781541468173077	0.0299527268846154	0.0225568576057692	0.0462513363269231	0.0268060510865385	0.0420877433461538	0.0515474003365385	0.0473931911153846	0.0586271725096154
AFFX-Dr-AF292559-3_s	-0.0760659760576923	-0.21484098907692303	-0.176671755673077	-0.124866772125	-0.0804953577115385	-0.09878024775000001	-0.128088785817308	-0.137374596663462	-0.132794798519231	-0.114738817721154	-0.111758793230769	-0.103248823538462
AFFX-Dr-AF292559-4_s	-0.312016234759615	-0.305751301278846	-0.34306776674038497	-0.300382977807692	-0.33171363380769203	-0.29856176853846195	-0.311729338875	-0.215229289759615	-0.26495290630769197	-0.291984698048077	-0.274454160144231	-0.295737485259615
AFFX-Dr-AF292560-1_s	-0.219067629846154	-0.26139812468269197	-0.257568357125	-0.290000317836538	-0.23899537423076897	-0.150046920317308	-0.20546028071153802	-0.215032899634615	-0.268250633211538	-0.274609650144231	-0.222315395259615	-0.195770613451923
AFFX-Dr-AF298789-1	-0.23789183402884603	-0.211426964692308	-0.22241784014423102	-0.17804041086538502	-0.28293049636538503	-0.23989238506730803	-0.26986013299038497	-0.241925642836538	-0.22528945764423103	-0.273343022471154	-0.247389044509615	-0.250978518086538
AFFX-Dr-AF323980-1	-0.359424459875	-0.380998415384615	-0.262199991846154	-0.27848970783653804	-0.337582059067308	-0.38931584714423106	-0.35782941999038503	-0.300382977807692	-0.27882067027884605	-0.32013082759615397	-0.282057812019231	-0.32732791947115397
AFFX-Dr-AJ002682-1_s	-0.43704454	-0.38360141747115395	-0.37736387125	-0.426150287586539	-0.372840470307692	-0.394131283557692	-0.394131283557692	-0.368855904048077	-0.354853549817308	-0.420195179173077	-0.332563904528846	-0.40560505321153795
AFFX-Dr-AJ002682-2_s	-0.30350044331730797	-0.217479799769231	-0.23345218301923104	-0.251854724173077	-0.21602240260576897	-0.258858983875	-0.25073393063461497	-0.238665140538462	-0.22934339539423101	-0.24158383675961498	-0.248945890451923	-0.252601034971154
AFFX-Dr-AJ132968-1	-0.173115598798077	-0.140216531278846	-0.155706590509615	-0.202482862903846	-0.112658819644231	-0.11326082690384598	-0.150046920317308	-0.182906763442308	-0.202482862903846	-0.12456565953846199	-0.135183985894231	-0.161386364288462
AFFX-Dr-AY056050-1	0.11549158520192301	0.12288374955769198	0.148803888192308	0.10831360339423099	0.26450242123076895	0.17150963300961497	0.166682350798077	0.18331167511538501	0.14369439861538502	0.21619521119230803	0.240072472596154	0.202089918567308
AFFX-Dr-AY342347_s	0.16502569667307698	0.14109821390384603	0.238865146673077	0.0914565787980769	0.24274195017307698	0.31299512790384604	0.173320268865385	0.280615821961538	0.33594226819230794	0.34620602451923105	0.405347257221154	0.35752001512500003
AFFX-Dr-ECOLOXB	-0.470991928692308	-0.517200412903846	-0.517200412903846	-0.501887130269231	-0.501887130269231	-0.488790958663462	-0.539534596480769	-0.470991928692308	-0.479049078692308	-0.45116216074038495	-0.517200412903846	-0.463512019836538
AFFX-Dr-ECOLOXL	0.129072215125	0.007405299749999999	0.0322856351346154	-0.0192655192307692	0.13743540795192302	0.0436887016634615	0.0372849812403846	0.0452564003365385	0.0374204491346154	0.0136576698365385	0.0379899630384615	0.0899423053173077
AFFX-Dr-GAPDH-3	2.4380668525096203	2.54433126000962	2.5511706815	2.49546483241346	2.50841279182692	2.49546483241346	2.77332627133654	2.64800750451923	2.72485285103846	2.44402663534615	2.76006456903846	2.4320713256153796
AFFX-Dr-GAPDH-5	1.8314551102211498	1.9428704638749998	1.8199356189134601	1.8891039809999999	1.8752439058557702	1.9122502430480801	2.11456931056731	2.04698019366346	2.05218936888462	1.80131532274038	2.05557517906731	1.85386545997115
AFFX-Dr-GAPDH-M	2.15009109915385	2.24387276998077	2.2193847157019198	2.2830318114134602	2.23041281623077	2.24387276998077	2.44402663534615	2.38994042964423	2.3983271200384597	2.18512560184615	2.40932039055769	2.18940537456731
AFFX-Dr-J01347-1_s	-0.265090629798077	-0.18473651204807698	-0.131168769836538	-0.185931399019231	-0.0986713594326923	-0.15495534490384602	-0.23689230904807698	-0.16589159512499999	-0.149765266394231	-0.181621609663462	-0.195957697028846	-0.19808945058653799
AFFX-Dr-J01347-2	-0.181160980317308	-0.20748963274999999	-0.20998090494230803	-0.206526867682692	-0.17758576666346199	-0.182170942182692	-0.187840556519231	-0.227258290413462	-0.127129479019231	-0.167454431798077	-0.17484012168269197	-0.26059860135576896
AFFX-Dr-J01347-3	-0.34762839493269204	-0.35413371202884597	-0.309487681673077	-0.311164721932692	-0.322875858759615	-0.319780424192308	-0.311437095961538	-0.308371902788462	-0.34306776674038497	-0.33855852201923103	-0.328854973461538	-0.33299791103846194
AFFX-Dr-J01347-4	-0.165800566913462	-0.163689355076923	-0.0985686566346154	-0.20220222319230802	-0.19463945181730802	-0.15910304504807699	-0.124962022875	-0.22241784014423102	-0.161854140894231	-0.135657671826923	-0.127705476884615	-0.141162113567308
AFFX-Dr-J01636-1	0.0515474003365385	0.0192979664038462	0.0626666107211538	-0.0432998693942308	-0.0010415948173076901	0.0928216428076923	0.0544162130769231	0.0512663148942308	0.0131053548269231	0.10019833153846198	0.0300892043461538	0.10706622440384599
AFFX-Dr-J01636-2_s	-0.21738392098076897	-0.253598523932692	-0.28240714527884603	-0.30350044331730797	-0.26396100665384603	-0.25247709381730804	-0.254495655336538	-0.22497659112500001	-0.271513649173077	-0.22343616879807698	-0.27412450001923105	-0.215229289759615
