	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 2	Unamputated dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 1	7 days post-amputation wildtype adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 2	Unamputated wildtype adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 2	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2
AFFX-Dr-acta1-3	2.96215755	2.33584728	2.28250075	2.35971184	2.45609606	2.76407741	2.37777751	2.36541239	2.2406053	2.46455644	2.2965068	2.46297693
AFFX-Dr-acta1-5	3.13812764	3.2680837000000005	3.1957593999999996	3.11609762	2.94984547	2.8783234	3.25411869	3.07308723	3.05894105	3.34360819	3.03228211	3.37738657
AFFX-Dr-acta1-5_x	3.92653684	3.9733252	3.88203773	3.95372316	3.75648154	3.57241872	3.94313304	3.79718831	3.83210708	4.12248841	3.9205803999999995	4.10322033
AFFX-Dr-acta1-M	2.3472049	2.11765078	2.05312578	2.06671103	2.04235559	2.0954677	2.16894559	2.06400384	2.01393467	2.15829573	2.00681625	2.2139238
AFFX-Dr-pAsRed2	-0.15769345	-0.10048893	-0.11567826	-0.12848372	-0.19232579	-0.16861151	-0.11495453	-0.11076478	-0.11552451	-0.11994866	-0.08035957	-0.13907041
AFFX-Dr-pDsRed1-1_s	0.32218689	0.32996251	0.35590549	0.16836095	0.19503267	0.18920962	0.32430417	0.11175599	0.1843273	0.39245701	0.17442948	0.30917362
AFFX-Dr-pd2EGFP	0.03350835	0.03289436	0.05392226	0.02451106	0.02039258	-0.0093212	0.06701309	-0.02884305	0.04356089	0.04687099	-0.01904064	-0.008615000000000001
AFFX-LysX-3	0.29841096	0.34236753	0.33991237	0.38295791	0.3870985	0.37544235	0.36300601	0.40710091	0.31202073	0.24111831	0.38103552	0.34408689
AFFX-LysX-5	-0.05701297	-0.0902483	-0.11717447	-0.03929629	-0.06219101	-0.11088431	-0.06663134	-0.06139499	-0.09965555	-0.14147576	-0.05535498	-0.03945577
AFFX-LysX-M	-0.00221403	0.02735824	-0.01443284	0.07766413	0.13213752	0.06138092	-0.02841235	0.04764658	0.00882675	-0.00184355	0.00994586	0.06073079
AFFX-PheX-3	0.48972708	0.46781188	0.47474957	0.52474414	0.49465687	0.4886789000000001	0.50150824	0.48902448	0.48397334	0.46934132	0.54119005	0.54728279
AFFX-PheX-5	-0.04536677	-0.060165300000000005	-0.06165982	-0.03318671	-0.05898985	-0.11698744	-0.03750768	-0.03008445	-0.09072612	-0.11496735	-0.03919925	-0.04313208
AFFX-PheX-M	0.06954132	0.025357400000000002	0.10246874	0.1227453	0.10029428	0.08124289999999999	0.06234848	0.16038585	0.07479058	0.01787988	0.02990782	0.13351165
AFFX-ThrX-3	0.33374666	0.24855024	0.27791399	0.44272076	0.37843499999999997	0.35280632	0.31519104	0.43107385	0.37846459	0.25619085	0.30259635	0.35713197
AFFX-ThrX-5	-0.11353347	-0.06454356	-0.12069345	-0.004130600000000001	-0.10216613	-0.07304087	-0.08427723	-0.04109516	-0.09686892	-0.17934392	-0.07503596	-0.11098524
AFFX-ThrX-M	0.07704168	0.01618509	-0.01369557	0.12062177	0.12165659	0.03781401	0.08728804	0.07464224	-0.01011762	0.01524007	-0.02335608	0.10655732
AFFX-TrpnX-3	-0.25980444	-0.26851317	-0.24830724	-0.27949606	-0.2878642	-0.29148875	-0.28461912	-0.30100714	-0.304771	-0.23075204	-0.24377777	-0.23680448
AFFX-TrpnX-5	-0.18948308	-0.20964197	-0.18388741	-0.17969094	-0.2278958	-0.2418399	-0.20191498	-0.22860571	-0.17028978	-0.20636695	-0.16041386	-0.21031332
AFFX-TrpnX-M	-0.32664348	-0.29696458	-0.26277312	-0.25771235	-0.27632212	-0.31414129	-0.30236936	-0.29376225	-0.27875949	-0.2519204	-0.24133267	-0.32587372
AFFX-r2-Bs-dap-3	1.32296702	1.32688729	1.26000795	1.64359614	1.4413723999999999	1.35791984	1.40820643	1.56136504	1.35427696	1.23040914	1.61926634	1.58670562
AFFX-r2-Bs-dap-5	0.1666755	0.10869209	0.11061248	0.17799037	0.22590936	0.12237905	0.17747785	0.16873047	0.14943854	0.08450419999999999	0.04720338	0.17312859
AFFX-r2-Bs-dap-M	0.9020353999999999	0.67251017	0.70203212	0.93579388	0.92464117	0.83045233	0.84948166	0.82971656	0.80257756	0.65013814	0.62055939	0.85043593
AFFX-r2-Bs-lys-3	-0.07551191	-0.03999582	-0.07475541	0.045179699999999996	-0.03014985	-0.07028396	0.02842211	0.00388891	-0.01463207	-0.09123027	-0.0456187	-0.05028671
AFFX-r2-Bs-lys-5	-0.03692639	-0.08272156	-0.09142506	-0.00365305	-0.00246228	-0.03676518	-0.07212587	-0.01469526	-0.0953448	-0.055390999999999996	0.03004404	-0.036789300000000004
AFFX-r2-Bs-lys-M	0.12457132	0.05428146	0.01683159	0.09797217	0.1296489	0.08153142	0.05235973	0.07869982	0.11077289	0.06301317	0.054822300000000004	0.15067815
AFFX-r2-Bs-phe-3	0.54747892	0.5180072	0.54246569	0.61928614	0.53580533	0.55448702	0.53765897	0.52717129	0.49303104	0.47019954	0.52512518	0.57372952
AFFX-r2-Bs-phe-5	-0.02439198	-0.03004986	-0.03132077	0.0222545	0.04671335	-0.07704126	-0.01019385	0.06195625	-0.05162539	-0.04360968	-0.0781913	-0.02847463
AFFX-r2-Bs-phe-M	0.15425249	0.07843365	0.04914793	0.11528957	0.14340767	0.07498319	0.14821307	0.08220083	0.1307942	0.02313845	0.11731457	0.07353422
AFFX-r2-Bs-thr-3_s	0.45585969	0.42446462	0.4462469	0.58998901	0.5368648	0.40922861	0.47738936	0.51615089	0.4373124	0.4511713	0.48134971	0.47003787
AFFX-r2-Bs-thr-5_s	-0.13199519	-0.09337905	-0.07026833	-0.03538794	-0.00218479	-0.13918182	-0.06075959	-0.05913748	-0.10935381	-0.062274199999999995	-0.10369447	-0.11202473
AFFX-r2-Bs-thr-M_s	0.19365253	0.12565613	0.11263018	0.32813872	0.26919503	0.19045185	0.19088326	0.22149018	0.19274649	0.09754178	0.15300472	0.17544714
AFFX-r2-Ec-bioB-3	0.87534606	0.83989572	0.87213461	0.81865412	0.82183101	0.85493512	0.76946551	0.93841221	0.78139108	0.86045756	0.94942349	0.88366347
AFFX-r2-Ec-bioB-5	0.54557818	0.52331567	0.53348564	0.4916463	0.5943329	0.541185	0.51030066	0.60475589	0.42742652	0.5712706	0.62023325	0.62111535
AFFX-r2-Ec-bioB-M	0.64648744	0.55651112	0.6022557	0.54414918	0.61698886	0.63149927	0.58255452	0.63850033	0.52107965	0.60095421	0.61468982	0.69641658
AFFX-r2-Ec-bioC-3	1.58205119	1.56774714	1.52992499	1.55443132	1.5146876	1.5558469	1.52553217	1.57961743	1.48581835	1.55379378	1.62567412	1.63280808
AFFX-r2-Ec-bioC-5	1.10436493	1.20032895	1.21788492	1.14433358	1.06809903	1.10548362	1.20965241	1.25773335	1.15765098	1.14770138	1.3280775	1.28129518
AFFX-r2-Ec-bioD-3	3.52980802	3.40546452	3.45129951	3.38263043	3.43606429	3.44849675	3.38608146	3.42497979	3.25022361	3.53132378	3.63221418	3.56700087
AFFX-r2-Ec-bioD-5	2.87957767	2.83903187	2.90966914	2.90220161	2.8716298	2.8124078	2.84225007	2.76707356	2.81001904	2.80897613	2.94236547	2.94854196
AFFX-r2-P1-cre-3	4.51932918	4.69815624	4.57361225	4.61038647	4.35346544	4.23353662	4.60426386	4.34221076	4.24591269	4.51805834	4.66775656	4.55808712
AFFX-r2-P1-cre-5	3.75485648	3.76190166	3.75467343	3.75619541	3.76504771	3.71370348	3.76234124	3.64023715	3.5578402000000002	3.71132655	3.88055041	3.79730458
AFFX-r2-TagA	-0.63455747	-0.55498798	-0.56197532	-0.52715324	-0.54261324	-0.53780682	-0.52598001	-0.51950892	-0.57329596	-0.53448678	-0.49812767	-0.50005247
AFFX-r2-TagB	-0.43598283	-0.4341906	-0.45052863	-0.42927077	-0.48556643	-0.45565449	-0.41000071	-0.40377658	-0.47730132	-0.41863732	-0.39075393	-0.41881594
