	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 2	Unamputated dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 1	7 days post-amputation wildtype adult zebrafish, sample 3	Unamputated dnHIF1a-expressing adult zebrafish, sample 3	7 days post-amputation wildtype adult zebrafish, sample 2	Unamputated wildtype adult zebrafish, sample 1	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 1	Unamputated wildtype adult zebrafish, sample 2	7 days post-amputation dnHIF1a-expressing adult zebrafish, sample 2
ENSDARG00000011564	1.55908767	1.50298647	1.54471977	1.30575302	1.29546632	1.53795282	1.3534313999999998	1.37423862	1.54496126	1.77489658	1.31806625	1.71310431
ENSDARG00000011570	-0.1354952	-0.08303975	0.02073582	-0.09654388	-0.07928922	-0.07330294	0.00691211	-0.13317705	-0.08787425	-0.09332929	-0.07703679	-0.11599409
ENSDARG00000011579	-0.28746507	-0.28456716	-0.26435223	-0.28950114	-0.29787994	-0.33401713	-0.2962858	-0.25725062	-0.31034708	-0.23963553	-0.23488438	-0.24097086
ENSDARG00000011582	0.10640212	0.07444479	0.06667477	0.04558814	0.12168114	0.20276161	0.08722337	0.12907993	0.01177392	0.14630149	0.05382563	0.11133116
ENSDARG00000011583	0.33181644	0.31756412	0.42699238	0.33881253	0.41110615	0.47585987	0.29881035	0.37545287	0.40559863	0.33434381	0.24482839	0.32040039
ENSDARG00000011594	-0.09015547	0.08374893	0.04289591	0.08013911	0.01098985	0.05851615	0.08822819	0.09359747	0.10239373	0.00242804	0.13127933	0.03638808
ENSDARG00000011597	0.55690518	0.43286022	0.4748693	0.39248034	0.56214569	0.53005931	0.50306597	0.45045499	0.68698268	0.58915826	0.46800955	0.47490711
ENSDARG00000011600	-0.21364187	-0.14697276	-0.17474332	-0.15326941	-0.2372208	-0.21182582	-0.14252159	-0.22874429	-0.18333149	-0.18213638	-0.24030969	-0.13378917
ENSDARG00000011605	0.24121483	0.52648255	0.45250862	0.30939693	0.1556356	0.08270577	0.43817986	0.09794387	0.29731378	0.3174097	0.26507892	0.34188674
ENSDARG00000011609	0.83894146	0.66061826	0.79269085	0.69583375	0.82898614	0.91424891	0.78466611	0.84204893	0.71764426	0.82708782	0.63166953	0.90039075
ENSDARG00000011611	1.86236544	1.87931241	1.83302839	1.73704958	1.7161977	1.74715766	1.83981909	1.81814017	1.94221393	1.78610358	1.89534539	1.86238591
ENSDARG00000011613	1.13457492	1.04664762	1.08271468	0.98893853	1.23062196	1.16258412	1.0505688999999998	1.20673334	1.00834321	1.11019115	1.07027397	1.0287209000000002
ENSDARG00000011615	3.57276311	3.67097204	3.68963969	3.88466014	3.47060911	3.25686409	3.53378385	3.5894913999999996	3.5621203	3.48972597	3.78499059	3.51659298
ENSDARG00000011648	0.93377104	1.20286243	1.28058222	1.0502075000000002	0.71223501	0.88306521	1.20266009	0.62921021	1.50820258	1.07509711	1.28206596	1.0645043
ENSDARG00000011662	0.76326295	0.80173006	0.8486789	0.83308491	0.69816882	0.70422469	0.84327932	0.78267243	0.87565692	0.70968747	0.7341928000000001	0.76042442
ENSDARG00000011665	4.1924299	4.38896976	4.2807336	4.41943666	4.1374846	3.97961971	4.34786572	4.12948043	4.18232124	4.22423369	4.37011077	4.20283807
ENSDARG00000011673	-0.01267591	-0.0912294	-0.19031665	-0.07287537	-0.11752496	-0.10107853	-0.19618132	-0.16415796	-0.1531904	-0.10907712	-0.1282264	-0.02519523
ENSDARG00000011683	-0.03735311	-0.0848552	-0.02661414	0.00963281	-0.06736528	0.06358858	-0.17835789999999999	-0.05399478	-0.09396053	-0.13927684	-0.10811578	-0.07838783
ENSDARG00000011696	0.01795515	0.04686678	0.01783619	0.0141019	0.01934351	0.01535033	0.04056487	0.01362146	0.00471033	0.00707797	0.02780095	0.04666229
ENSDARG00000011701	0.00954737	-0.10958501	-0.07005076	-0.04441201	0.0137377	-0.07827143	-0.11178209	-0.03386293	-0.00131826	-0.05731589	-0.06579428	-0.00012932
ENSDARG00000011703	-0.20786107	-0.14405543	-0.17075063	-0.14723326	-0.15260349	-0.21146916	-0.15679466	-0.16927943	-0.14413413	-0.12608377	-0.10755356	-0.18663105
ENSDARG00000011723	0.36066406	0.44636699	0.37167078	0.35502455	0.43182559	0.34711804	0.36808975	0.38380526	0.32917989	0.29505079	0.41370027	0.32948316
ENSDARG00000011727	-0.06840223	-0.02180883	0.00979073	-0.05408344	-0.05196367	-0.04712613	-0.01827265	-0.03790485	-0.04963061	-0.03582885	-0.07478618	-0.04871824
ENSDARG00000011740	1.13564904	1.11506423	1.18337887	1.1721004	1.10190509	1.05045977	1.12607832	1.13131985	1.28507588	1.13402459	1.24812286	1.13390176
ENSDARG00000011743	0.14230483	0.13502334	0.15716281	0.11686722	0.15817053	0.046888	0.12792885	0.09362888	0.20525507	0.18824363	0.01839945	0.18369889
ENSDARG00000011764	0.28729982	0.25865463	0.27100086	0.31776838	0.4005988	0.44789371	0.25433556	0.37981018	0.31083046	0.36183615	0.23666071	0.31460638
ENSDARG00000011769	-0.12278306	-0.09409227	-0.12791047	-0.11766559	-0.13354371	-0.08773919999999999	-0.13997715	-0.10320443	-0.11970825	-0.12402091	-0.10659792	-0.12349561
ENSDARG00000011770	0.13106273	0.09943011	0.08640633	0.06470319999999999	0.12744586	0.09834169999999999	0.16395985	0.08508205	0.14937878	0.13390084	0.01416966	0.07908121
ENSDARG00000011783	0.64472033	0.65240386	0.69782375	0.70503712	0.76286046	0.76616446	0.66642683	0.79504321	0.65737305	0.60387629	0.58139444	0.61547787
ENSDARG00000011785	-0.06007085	-0.05376057	-0.04934486	-0.02049726	-0.10673383	-0.03661889	-0.03800221	-0.07307915	-0.01168873	-0.04464653	-0.04646092	-0.06082268
ENSDARG00000011801	-0.08376571	0.03967796	0.07148993	0.04885535	-0.07413347	-0.10017833	0.00379692	-0.10950964	0.01686815	-0.01436754	-0.00304735	-0.04047059
ENSDARG00000011824	0.55997001	0.64341174	0.56403184	0.6942014	0.75363968	0.66830006	0.43590347	0.80310275	0.68380306	0.52654887	0.49473922	0.51218448
ENSDARG00000011841	3.56856401	3.70211048	3.67541169	3.80019292	3.44929351	3.44586885	3.67220204	3.48317988	3.60374515	3.55017253	3.75676757	3.63533611
ENSDARG00000011862	-0.19484358	-0.19655922	-0.22596841	-0.15780599	-0.19708584	-0.1689878	-0.23384252	-0.16188171	-0.18322474	-0.20198123	-0.15894032	-0.21884799
ENSDARG00000011876	0.2048974	0.13794432	0.25803956	0.22826919	0.24751339	0.16871276	0.20543624	0.24479738	0.36253566	0.19630221	0.11703355	0.25858997
ENSDARG00000011885	0.86632216	1.0128163000000001	1.12539891	1.1448744	0.93648658	0.85811363	1.16515739	0.96622397	1.11634734	0.93079737	0.94849956	0.89413887
ENSDARG00000011886	-0.21615298	-0.24974918	-0.24449557	-0.17472597	-0.22203467	-0.22027564	-0.18850355	-0.20649152	-0.20245285	-0.18153871	-0.16804754	-0.21650016
ENSDARG00000011890	0.09105165	0.36780502	0.30676040000000004	0.46136601	0.06224503	0.07825706	0.28487587	0.04225442	0.47547561	0.05512481	0.43785928	0.06342444
ENSDARG00000011897	0.90035636	0.89274984	0.64682705	0.49616828	0.62723085	0.70864429	0.86922694	0.61055211	0.75339893	0.71410046	0.51107947	0.86109191
ENSDARG00000011921	0.5301334	0.44712153	0.45196799	0.79798163	0.55494841	0.78654236	0.50477425	0.7576082	0.86033602	0.65939791	0.75663916	0.47400914
ENSDARG00000011925	0.39755503	0.33522767	0.37879855	0.35744699999999996	0.47831145	0.55844132	0.37559097	0.54790454	0.34711178	0.43309677	0.37997775	0.39256561
ENSDARG00000011929	0.04797498	0.08090989999999999	0.10732213	-0.06537604	0.02616996	-0.05901132	0.0473356	0.03646603	-0.06758924	0.07352194	-0.07531349	0.053309
ENSDARG00000011932	0.67564173	0.68746868	0.77149182	0.70630259	0.80021131	0.69633845	0.72795899	0.79049673	0.92557559	0.76152306	0.63919697	0.65702506
ENSDARG00000011934	1.74353515	1.74540073	2.04481667	1.62774849	1.68415292	1.53285449	1.9836535	1.52771362	1.58129439	1.73798632	1.49461032	1.85791826
ENSDARG00000011945	0.04288639	0.03579559	0.00902661	0.06349213	0.07686551	-0.02335202	0.06859042	0.02830425	0.08682307	0.04844342	0.00437631	0.07285813
ENSDARG00000011948	0.19115527	0.20074673	0.17051623	0.14340162	0.09768912	0.13258926	0.31628203	0.12643912	0.06348541	0.17815596	0.09585229	0.20641700000000002
ENSDARG00000011956	-0.14638663	-0.15575736	-0.11034736	-0.1360421	-0.17470798	-0.16605181	-0.13752604	-0.13245548	-0.13746711	-0.12945424	-0.1730031	-0.17614568
ENSDARG00000011958	0.30377492	0.29317166	0.30366378	0.35590087	0.31246668	0.31967973	0.27597175	0.29573702	0.3995821	0.23906046	0.41421691	0.30425067
ENSDARG00000011973	-0.13972768	-0.0485314	-0.0528245	-0.12708033	-0.10337516	-0.04681328	-0.02750249	-0.09904457	-0.03908267	-0.10151261	-0.02227142	-0.05037725
ENSDARG00000011989	-0.31408963	-0.25894677	-0.3016034	-0.24571105	-0.29070527	-0.3332022	-0.2512317	-0.3390654000000001	-0.26620359	-0.24912663	-0.23500745	-0.27875438
ENSDARG00000011998	0.27037951	0.31158649	0.65264848	-0.07363878	-0.0418393	-0.03195378	0.030998	0.10082564	-0.06468973	0.29872065	-0.12713076	0.39669288
ENSDARG00000011999	0.63840444	0.75782161	0.72760801	0.589492	0.43093353	0.53762782	0.7108701999999999	0.45660635	0.98901338	0.7266796	0.72325337	0.76406737
ENSDARG00000012002	-0.10515882	-0.0981744	-0.14560018	-0.15557502	-0.10918876	-0.08701004	-0.14480483	-0.12293068	-0.11301442	-0.12382179	-0.09610504	-0.16634161
ENSDARG00000012019	-0.18016461	-0.15548258	-0.15083414	-0.14120539999999998	-0.19316614	-0.27899655	-0.17187324	-0.17757848	-0.17960689	-0.15758664	-0.19030754	-0.19367662
ENSDARG00000012021	-0.01899496	-0.02021733	-0.01401498	-0.060570500000000006	-0.05595234	-0.06700312	-0.02322593	-0.08211487	-0.07331481	-0.02820869	-0.07336784	-0.00702971
ENSDARG00000012025	0.54993735	0.3819146	0.41276883	0.40261572	0.40896429	0.50357326	0.44229599	0.54805646	0.47214908	0.42483258	0.40255561	0.48106049
ENSDARG00000012030	-0.1590885	-0.13113337	-0.15615149	-0.11131708	-0.17167602	-0.0982	-0.15632804	-0.19978967	-0.17599092	-0.12007567	-0.16941392	-0.14228695
ENSDARG00000012035	0.66643541	0.68309741	0.70365156	0.65756342	0.66108113	0.72567195	0.6429862	0.68627001	0.64929452	0.63714608	0.61152649	0.65076616
ENSDARG00000012039	0.11207533	0.11583395	0.10600519	0.06017302	0.0908216	0.07188335	0.15602923	0.08129776	0.00534836	0.01177966	0.00529745	0.0009875
ENSDARG00000012040	-0.04758482	-0.07944778	-0.03483986	-0.02631785	-0.01132195	-0.03879694	-0.05577644	0.00702803	-0.03218287	-0.02516744	-0.07977313	-0.01970064
ENSDARG00000012057	-0.21276776	-0.13787565	-0.16870228	-0.18396696	-0.18061339	-0.22212682	-0.13157821	-0.17717767	-0.13901467	-0.19097048	-0.20719591	-0.20229494
ENSDARG00000012066	1.97957566	1.65758268	1.61861806	1.56084963	2.17933229	2.28414436	1.55447382	2.08821676	1.40278716	1.89298496	1.34079162	1.90168592
ENSDARG00000012072	1.11533877	1.07372455	1.09557655	1.11692706	1.06262502	1.04610664	1.0993117000000001	1.15487535	1.02791128	1.06391104	1.08245593	1.08523027
ENSDARG00000012073	-0.14371006	-0.15909325	-0.14437707	-0.10067778	-0.13811821	-0.04752922	-0.12529629	-0.1743067	-0.16436791	-0.10295804	-0.06923999	-0.11008104
ENSDARG00000012076	-0.18598524	-0.16534271	-0.16819977	-0.21241287	-0.2169741	-0.1828846	-0.21542261	-0.18808832	-0.22617329999999997	-0.17791005	-0.17529803	-0.20810016
ENSDARG00000012078	1.67677926	1.52814669	1.62018942	1.40277126	1.43953429	1.46146746	1.54105596	1.39312162	1.4957923	1.45457102	1.22395401	1.6163121
ENSDARG00000012113	0.09967212	0.07497248	0.13610145	0.10251684	0.07732229	0.07924433	0.0949296	0.12828971	0.25768517	0.04566151	0.21696993	0.11343489999999999
ENSDARG00000012135	-0.05983714	-0.06590475	0.01003602	-0.06829874	0.02478238	-0.00227919	0.05090671	-0.04242752	-0.12458168	-0.05848685	-0.18468768	-0.03527557
ENSDARG00000012138	0.59234347	0.68133912	0.66750323	0.77319881	0.62313912	0.50350854	0.7235182	0.51082504	0.64769905	0.55860453	0.43672132	0.58936776
ENSDARG00000012140	0.82167947	0.76632293	0.72140818	0.69916866	0.70751474	0.75676796	0.57628205	0.71567622	0.9237175	0.86831751	0.87059032	0.92066664
ENSDARG00000012141	0.49941334	0.52765719	0.50142596	0.52507965	0.48233235	0.53704211	0.57206338	0.52000098	0.47457671	0.3380404	0.42499781	0.43625266
ENSDARG00000012144	1.09788567	1.1941121000000001	1.13169926	1.37593091	1.19306626	1.15594717	1.12534009	1.17428468	1.43870404	1.1239861	1.30875338	1.01077156
ENSDARG00000012177	-0.20505820000000002	-0.19730674	-0.21029169	-0.3219617	-0.28604706	-0.33650221	-0.20421398	-0.26108626	-0.31982488	-0.20995592	-0.28936543	-0.20571489
ENSDARG00000012192	0.24039327	0.30944049	0.31975901	0.31902014	0.37650119	0.45053961	0.33247279	0.32628986	0.34266022	0.24360055	0.40417906	0.24866068
ENSDARG00000012194	0.69919142	0.77910576	0.8058453000000001	0.74482338	0.70372277	0.67886545	0.90813434	0.71937721	0.58672014	0.83158956	0.59335839	0.71937697
ENSDARG00000012199	0.04337306	0.11110214	0.11056175	-0.06410097	0.07350798	0.05589823	0.01954694	0.03548262	0.09457919	0.10346509	0.10809609	0.01560028
ENSDARG00000012215	0.19837483	0.19589692	0.25673531	0.18599772	0.20294613	0.23506046	0.24820095	0.14803337	0.30885361	0.24532741	0.31303073	0.25401854
ENSDARG00000012222	0.15964395	0.27203035	0.25476906	0.18918625	0.13604896	0.15328649	0.23379137	0.12368921	0.30667555	0.18696753	0.1835812	0.20331858
ENSDARG00000012234	1.23545787	1.19798497	1.27394033	1.26976581	1.08443361	1.1515423999999999	1.3703486	1.04791033	1.49523556	1.14175304	1.32504529	1.30372063
ENSDARG00000012244	1.45837548	1.50775483	1.60362339	1.89069017	1.77855045	1.72889206	1.68571689	1.92573562	1.64013302	1.51082449	1.81861368	1.60662648
ENSDARG00000012248	0.09152417	-0.08242999	-0.07674706	0.0161636	-0.03126832	0.02966421	-0.01219957	0.0753646	-0.08688086	0.00713171	0.00258835	0.12053791
ENSDARG00000012261	-0.20466105	-0.19494209	-0.19693735	-0.14112691	-0.20100993	-0.17313575	-0.12838859	-0.20515621	-0.0949645	-0.23076013	-0.13954026	-0.15842789
ENSDARG00000012271	0.25341536	0.17043455	0.19118603	0.05666936	0.16600507	0.24713503	0.17193607	0.14102455	0.18104623	0.16372997	0.11110752	0.29262489
ENSDARG00000012274	0.72402252	0.79352944	0.7828569000000001	0.84241261	0.5698905	0.62507176	0.8150963000000001	0.52091143	1.31183714	0.86217372	0.91464812	0.78314407
ENSDARG00000012281	-0.15752538	-0.12330221	-0.14214286	-0.06516346	-0.1325502	-0.11497527	-0.17765812	-0.13654197	-0.12665359	-0.16088708	-0.09206192	-0.14197341
ENSDARG00000012295	-0.01964398	0.22014717	0.22982511	0.16977060000000002	-0.01734402	-0.00202723	0.19806036	-0.01754682	0.36087745	0.03738438	0.16799646	0.12181863
ENSDARG00000012306	-0.22978996	-0.16256451	-0.22193558	-0.24437688	-0.21940821	-0.17602996	-0.09990698	-0.25237195	-0.18970143	-0.16595784	-0.23137463	-0.17748402
ENSDARG00000012314	0.52469776	0.45993527	0.52649009	0.50405899	0.58461906	0.59073906	0.47354227	0.56958585	0.53449562	0.52682594	0.43958496	0.47658445
ENSDARG00000012325	-0.05924306	-0.06627822	-0.09579477	0.01671372	0.0155127	0.02681642	-0.06950051	-0.01029757	0.10928812	-0.04825037	0.06988007	-0.08046021
ENSDARG00000012340	0.54337467	0.56356979	0.58909998	0.3434607	0.65779716	0.74132905	0.54014119	0.64791235	0.41297873	0.53152589	0.3105341	0.5270134
ENSDARG00000012341	-0.11410764	-0.09916544	-0.04734298	-0.28395704	-0.2029205	-0.13435694	-0.22293499	-0.22342944	-0.25756312	-0.01989994	-0.21776452	-0.03804214
ENSDARG00000012353	-0.02775092	-0.02866808	0.00157658	0.02413405	-0.01940652	-0.02883049	-0.03367352	-0.08938343	-0.08018911	-0.01047664	-0.0010111	-0.00596227
ENSDARG00000012368	0.03900406	-0.04864622	-0.03328264	-0.0516304	-0.05061464	0.05828174	-0.04141257	-0.0465757	-0.02501749	0.0245772	-0.07513408	-0.01482853
ENSDARG00000012369	0.40884365	0.32334276	0.38030795	0.39560438	0.52500573	0.45614253	0.35514334	0.39209378	0.4088462	0.36444799	0.34426149	0.47455529
ENSDARG00000012378	0.55503247	0.53294852	0.64704135	0.50491659	0.58809582	0.58502825	0.59760374	0.54346586	0.51099355	0.54310911	0.52076128	0.53888704
ENSDARG00000012381	1.57054218	1.62006526	1.64102119	1.74164859	1.51312855	1.56745063	1.66244218	1.52760721	1.4734361	1.558238	1.65011348	1.62640193
ENSDARG00000012387	1.7303261000000003	1.95226622	1.88236984	1.97924463	1.67286006	1.67433254	2.05094454	1.75166558	1.93011715	1.76978264	1.66595122	1.77506419
ENSDARG00000012388	3.6962726000000004	3.93927175	3.88389228	4.34265715	4.12614165	3.91361015	3.92674364	3.98828658	4.06601384	3.79649345	4.23909542	3.84343942
ENSDARG00000012389	0.22884917	0.26470261	0.29369977	0.26864029	0.28873437	0.27918561	0.31268187	0.36009959999999996	0.3330431	0.2053013	0.20644278	0.21083925
ENSDARG00000012395	0.31992381	0.10864844	0.1561515	0.73027836	0.32129095	0.35588789	0.09918526	0.15361270000000002	1.01555757	0.21314989999999998	0.1943321	0.24603375
ENSDARG00000012399	0.87624482	0.93140931	0.98381868	0.82004752	0.72375707	0.80948964	0.96479947	0.84682352	1.12009638	0.94129997	0.9503081	1.04068457
ENSDARG00000012405	2.19051579	1.36520696	1.34960309	0.79851575	2.38257481	2.57621098	1.25801606	2.3133947999999998	1.10186282	2.14489226	0.92730189	2.20534239
ENSDARG00000012407	0.3038652	0.13300599999999999	0.19165635	0.27133905	0.38520384	0.46063623	0.23561264	0.22342713	0.33307684	0.25871018	0.19552158	0.28281338
ENSDARG00000012422	-0.23281471	-0.22858330000000002	-0.2152363	-0.19667061	-0.24325468	-0.18679971	-0.20637589	-0.20765195	-0.19696752	-0.20918662	-0.18416054	-0.23921837
ENSDARG00000012432	0.21047979999999997	0.18342338	0.10399851	0.21485175	0.15370385	0.21547696	0.15792201	0.14732351	0.18526661	0.16737065	0.20822113	0.1638917
ENSDARG00000012450	0.99839276	0.71183048	0.72246638	0.54389533	1.00238139	1.09015752	0.70120192	0.87301822	0.76514612	1.08686216	0.72826903	1.00430734
ENSDARG00000012458	1.49152923	1.31796813	1.34900837	1.35763535	1.64138017	1.49257633	1.49020686	1.59508023	1.30712744	1.47052067	1.26227069	1.44775156
ENSDARG00000012467	-0.12881669	-0.18280006	-0.20468766	-0.07661536	0.00132783	0.06679754	-0.23149716	0.01068538	-0.04890856	-0.17663014	-0.11541196	-0.16226135
ENSDARG00000012468	0.61742203	0.73554313	0.72168589	-0.09000178	0.02591537	-0.01495099	0.64763664	0.03515765	-0.04981425	0.57269419	0.00288643	0.6541180999999999
ENSDARG00000012485	-0.06015965	-0.05544375	-0.06631573	-0.030563299999999998	-0.01070113	0.04812188	-0.04628771	-0.01957235	-0.04937004	0.02805644	0.05096459	-0.01835092
ENSDARG00000012495	0.2231158	0.30135126	0.39338963	0.24290053	0.11346511	0.20566467	0.41224973	0.16459242	0.43963336	0.22450355	0.28674335	0.2866482
ENSDARG00000012504	-0.20503608	-0.08080076	-0.15820943	-0.1551369	-0.17473103	-0.1840101	-0.15125613	-0.14456883	-0.14045769	-0.1461686	-0.159273	-0.13290028
ENSDARG00000012513	2.3133572	1.87262706	1.96330776	2.04489842	2.18589296	2.3639266	2.02374058	2.29464735	2.25055001	2.20793374	1.97063557	2.25428372
ENSDARG00000012519	0.1153001	0.18279381	0.23094887	0.16492467	0.22207129	0.23311216	0.21076764	0.19289408	0.23365963	0.15467718	0.15955334	0.19048802
ENSDARG00000012539	-0.1598258	-0.18028724	-0.20293345	-0.14154189	-0.17229369	-0.22990257	-0.23720814	-0.20103054	-0.20560903	-0.19005262	-0.11708047	-0.25058588
ENSDARG00000012553	0.9517002	0.97588118	0.97411351	1.14848577	1.13592434	1.131198	1.00402626	1.03980622	1.0946065	0.86257914	0.92090961	0.97262312
ENSDARG00000012555	-0.30234893	-0.23798787	-0.28154081	-0.23973409999999998	-0.21617364	-0.29816886	-0.25761317	-0.28073016	-0.25852516	-0.18611484	-0.23306351	-0.27188131
ENSDARG00000012572	0.25497902	0.37614209	0.32033731	0.32732827	0.21589726	0.28092104	0.34703709	0.27671542	0.38501322	0.2859713	0.35891622	0.23443121
ENSDARG00000012577	0.37077794	0.30528619	0.33610208	0.22465666	0.32063709	0.35895244	0.36432421	0.33455856	0.32561161	0.31814866	0.26328796	0.28907832
ENSDARG00000012588	0.37880963	0.42288428	0.42080244	0.27597359	0.3538014	0.33990326	0.4133819	0.46364443	0.33447511	0.41917197	0.32442757	0.36969309999999994
ENSDARG00000012591	0.99063958	0.88001771	0.88204225	0.79003754	0.99885702	1.03845116	0.88500062	0.93378857	0.91658526	0.84854579	0.77176873	0.86477936
ENSDARG00000012593	1.76684248	0.84959004	0.80564005	0.57079215	1.97020116	2.27408935	0.78744864	1.83313043	0.77553911	1.66795886	0.65274714	1.77478091
ENSDARG00000012609	-0.21001628	-0.18907292	-0.16099213	-0.18905246	-0.14647682	-0.21926038	-0.18565606	-0.19571518	-0.11643937	-0.18390597	-0.14767908	-0.20295041
ENSDARG00000012625	2.40060064	2.66420501	2.67090967	2.61313318	2.37333123	2.36399637	2.60184088	2.43751153	2.22819423	2.5122315	2.54378539	2.51998546
ENSDARG00000012627	0.49159299	0.50578147	0.55758807	0.67765442	0.55627681	0.51799502	0.37950085	0.51399483	0.5350694	0.43669243	0.69867477	0.38611446
ENSDARG00000012642	-0.0672117	-0.12041096	-0.14281444	-0.08908085	-0.13601418	-0.06246159	-0.04846228	-0.08653968	-0.15083561	-0.13858888	-0.05218124	-0.10410021
ENSDARG00000012656	0.62455846	0.50526388	0.64281362	0.64912418	0.66463513	0.75050492	0.72345339	0.62771011	0.81651979	0.49905291	0.52758675	0.57442136
ENSDARG00000012667	-0.15289531	-0.17338287	-0.17552513	-0.16957467	-0.21520099	-0.17995602	-0.11863182	-0.14707965	-0.19860039	-0.18068039	-0.17368047	-0.1471261
ENSDARG00000012671	-0.11074718	-0.21161291	-0.16263945	-0.22947212	-0.1479676	-0.03838907	-0.13829932	-0.09061442	-0.16732761	-0.04249854	-0.21655723	-0.00748875
ENSDARG00000012672	0.59422412	0.63829149	0.59411623	0.71629921	0.70486699	0.7580134	0.69013761	0.70482529	0.83314679	0.61228259	0.5717455	0.55824595
ENSDARG00000012674	0.67991955	0.70327244	0.74530471	0.70630756	0.63605782	0.58252779	0.68398827	0.67061253	0.91113699	0.6776276999999999	0.64669733	0.72172971
ENSDARG00000012682	2.93985184	3.01607871	2.96952384	2.83195297	2.72082877	2.78431316	3.05208356	2.6012082999999997	2.92157477	3.00370265	2.87155358	2.97482076
ENSDARG00000012684	0.11901427	0.07916313	0.01602572	-0.02072063	0.2373527	0.22248818	0.01004115	0.12912793	0.02280515	0.08374789999999999	0.04139776	0.00965922
ENSDARG00000012688	1.88896651	1.89603164	1.90963095	1.86557032	1.92743717	1.92694322	1.94060913	2.04265602	1.92343452	1.96004809	1.80288948	1.93406927
ENSDARG00000012694	0.26934254	-0.13181307	-0.02828603	-0.10129016	0.14305005	0.23433533	-0.03143607	0.12262224	0.02745434	0.10791516	-0.01309394	0.20260187
ENSDARG00000012718	-0.18262728	-0.19072263	-0.19653515	-0.19993681	-0.15599272	-0.15942182	-0.17412895	-0.17393347	-0.21187151	-0.16756262	-0.19687895	-0.19425016
ENSDARG00000012723	0.04146605	0.06327962	0.08505898	0.06365881	0.0843561	0.061558400000000006	0.11036884	0.05055056	0.08686164	0.11979758	0.03363827	0.0668421
ENSDARG00000012747	0.6250911	0.65768514	0.65667523	0.63609692	0.60558205	0.58971945	0.70281375	0.57941916	0.78759955	0.63348933	0.61511361	0.56612899
ENSDARG00000012763	0.13999364	0.16836281	0.12761146	0.11789460000000002	0.12625039	0.12307349	0.13617839	0.15747258	0.0339848	0.09273178	0.04341778	0.0807334
ENSDARG00000012776	0.70317904	1.04474331	1.05812548	0.92943011	0.82656103	0.85443443	0.97192098	0.90384403	0.79774471	0.68548715	0.90917063	0.69974635
ENSDARG00000012777	1.17387718	1.53194946	1.54823228	1.4332639999999999	1.25142758	1.31612825	1.51917093	1.34844827	1.3496473	1.11652161	1.4439771000000001	1.22965742
ENSDARG00000012788	-0.26486656	-0.27529636	-0.27775291	-0.30425267	-0.33030359	-0.30736536	-0.26390903	-0.27333437	-0.35919666	-0.26687017	-0.26363255	-0.27143148
ENSDARG00000012796	-0.22762098	-0.26215616	-0.25776758	-0.20313304	-0.21888475	-0.24187419	-0.23015981	-0.23297661	-0.23339947	-0.22868825	-0.23696822	-0.20701121
ENSDARG00000012818	0.56911571	0.62688024	0.59277802	0.6145387	0.63091062	0.67150178	0.62861	0.55840557	0.62384114	0.56560572	0.5763611	0.53331612
ENSDARG00000012824	0.27522585	0.39223288	0.42375007	0.20310977	0.36458556	0.26917965	0.38691302	0.3597764	0.16050631	0.38026363	0.07690508	0.3040268
ENSDARG00000012827	0.30127698	0.29168827	0.27088688	0.30054772	0.2997989	0.27571444	0.31836934	0.29631341	0.43514014	0.30374116	0.27285138	0.33591002
ENSDARG00000012840	-0.03023739	0.12147491	0.09656625	0.13447620000000002	0.02828907	0.02876255	0.0981647	-0.02196156	0.23987252	-0.00525725	0.09719949	-0.04771504
ENSDARG00000012848	0.26464369	0.30344829	0.37241549	0.48549564	0.43000935	0.36514781	0.33509863	0.45164555	0.37478384	0.22544547	0.46062016	0.25680443
ENSDARG00000012860	-0.24771769	-0.23344446	-0.21474920000000003	-0.25505761	-0.28107503	-0.25802306	-0.26195856	-0.2134323	-0.26027533	-0.25923764	-0.22097617	-0.2359424
ENSDARG00000012866	0.90616194	0.91409308	0.9795721	1.01726461	0.91760654	0.99687797	0.96399956	0.9355551999999999	0.96578327	1.08192722	1.00851612	0.94734102
ENSDARG00000012871	0.58259881	0.55655256	0.59664718	0.67640365	0.62428882	0.64925616	0.57877374	0.68126329	0.7707381	0.61474592	0.62669066	0.58391331
ENSDARG00000012874	0.88066652	0.60591224	0.68716337	0.27097057	0.42748521	0.34622104	0.58210293	0.48942029	0.59755988	0.50053849	0.66435296	1.00403145
ENSDARG00000012881	2.55905267	2.30341196	1.34091599	1.10541343	3.2602314999999997	3.25451428	1.96351171	2.26165502	1.30315427	1.99184566	1.94616939	1.42293217
ENSDARG00000012892	0.30661943	0.1119852	0.20278721	0.09932547	0.3774381	0.40596294	0.15920757	0.26688165	0.24404339999999997	0.22190282	0.21992587	0.1822986
ENSDARG00000012896	-0.26036321	-0.14290401	-0.17712882	-0.23650625	-0.16509861	-0.20144215	-0.15982816	-0.19192778	-0.24094113	-0.20747034	-0.19252281	-0.15161537
