logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000104315	0.882702313333334	0.582503655	9.12382905067654	9.06880524064733e-07	0.000325814268280334	6.17133805146455
ENSDARG00000040623	0.557832065	0.317951679166667	9.02660264256686	1.01643129130209e-06	0.000351647581187142	6.06228811233323
ENSDARG00000005789	0.711254673333334	0.4618991425	8.98900417166318	1.06252739711533e-06	0.000354466729159081	6.01982434554487
ENSDARG00000015955	0.590036101666667	0.301603940833333	8.92682871151369	1.14374195916342e-06	0.000368403228984327	5.94924189183552
ENSDARG00000036279	0.32048467	0.190370936666667	8.87173139788057	1.22128141420326e-06	0.000380266323002421	5.88631590245364
ENSDARG00000007099	0.246382915	0.105451764166667	8.82216294313115	1.29586307841966e-06	0.000388675590040671	5.82939823391755
ENSDARG00000000767	0.576990931666667	0.349812858333333	8.79954127047826	1.33150828404897e-06	0.000388675590040671	5.80332574039442
ENSDARG00000070743	0.337763931666667	0.192224095	8.66892332564469	1.55896710328996e-06	0.000431606608547161	5.65158623584032
ENSDARG00000044511	0.935550315	0.636941006666667	8.66259741206398	1.57099076015453e-06	0.000431606608547161	5.64418528403253
ENSDARG00000075261	0.737490121666667	0.4334129525	8.55453141511926	1.7924864390422e-06	0.000478389023631233	5.51700366756016
ENSDARG00000012593	1.88116719833333	1.31073002666667	8.43926954267688	2.06606827978445e-06	0.000536087327818515	5.37977627040766
ENSDARG00000002758	0.503280581666667	0.33631556	8.38946704567102	2.19781269322909e-06	0.000551894246337541	5.31997395346303
ENSDARG00000010785	0.318810773333333	0.177857809166667	8.37234705991159	2.24515376949219e-06	0.000551894246337541	5.29934503211549
ENSDARG00000018303	0.243681355	0.15108254	8.32025187778319	2.39604459971522e-06	0.000573883400152305	5.23634656080226
ENSDARG00000015947	0.336953536666667	0.21499245	8.28074682193454	2.51769119727718e-06	0.000587943836844155	5.18834574844614
ENSDARG00000061233	1.472904245	1.03690691583333	8.21260385125654	2.74331944893036e-06	0.000613799549522924	5.10508431866454
ENSDARG00000010434	2.981278975	2.08952219833333	8.20785464646956	2.75983096884304e-06	0.000613799549522924	5.09925944925039
ENSDARG00000105083	0.348432298333333	0.185798389166667	8.18216010050647	2.85102535681665e-06	0.000619335531581961	5.0676953863263
ENSDARG00000076229	0.304816413333333	0.193881884166667	8.13808104072883	3.01505970431092e-06	0.000628985772672264	5.01335055674027
ENSDARG00000060093	0.235799248333333	0.152095175	8.13416300056518	3.030120947463e-06	0.000628985772672264	5.00850797312184
ENSDARG00000032272	0.495965966666667	0.27930187	8.06565509610273	3.30689039023484e-06	0.000671514415982252	4.92351481445165
ENSDARG00000007396	1.28933957666667	0.889808546666667	8.00343388155223	3.58175289023333e-06	0.000694472481554512	4.84579498377991
ENSDARG00000023578	0.24136399	0.1570981	7.97872468349468	3.6975924216592e-06	0.000694472481554512	4.81479127924211
ENSDARG00000018383	0.900047383333333	0.600188771666667	7.96555055578844	3.76098495603301e-06	0.000694472481554512	4.79822854907966
ENSDARG00000044062	0.199276261666667	0.115035224166667	7.96504283800959	3.76345116657497e-06	0.000694472481554512	4.79758978384827
ENSDARG00000075707	0.430414988333334	0.163849814166667	7.94654853710886	3.85447466142478e-06	0.000694472481554512	4.77429890509597
